"Accurate long passes, %",Short / medium passes per 90,Passes per 90,Interceptions per 90,Successful defensive actions per 90,"Accurate short / medium passes, %",Dribbles per 90,"Duels won, %",Shots blocked per 90,Passes to final third per 90,"Accurate passes, %",Received passes per 90,Non-penalty goals,"Accurate passes to final third, %",Key passes per 90,Duels per 90,Assists,"Successful dribbles, %"
42.86,36.59,46.98,4.95,7.91,94.59,0.0,50.0,0.99,8.41,83.16,35.11,1,52.94,0.0,14.84,0,0.0
33.33,64.48,71.64,4.48,8.96,94.44,0.0,58.06,0.45,14.33,88.13,54.18,0,68.75,0.0,13.88,0,0.0
40.7,58.37,70.4,5.18,7.7,95.68,0.84,47.89,0.42,15.12,86.28,49.13,2,63.89,0.14,9.94,0,83.33
51.33,32.56,40.09,3.57,8.23,94.52,0.07,60.5,0.36,6.15,86.48,26.51,1,54.84,0.03,13.22,1,50.0
46.09,39.99,46.83,5.57,12.86,90.71,0.49,61.15,0.54,7.38,84.24,32.51,0,70.86,0.15,18.63,0,40.0
35.0,43.64,48.39,3.39,7.91,93.26,0.45,62.96,0.23,5.43,87.38,33.47,0,45.83,0.0,12.21,0,100.0
54.46,50.26,56.06,4.82,9.84,95.67,0.1,63.05,0.62,6.63,91.4,39.48,0,77.34,0.05,12.9,0,100.0
55.56,34.46,38.26,3.84,8.68,92.25,0.67,61.79,0.46,4.84,88.55,25.12,0,65.52,0.08,13.98,0,62.5
47.83,31.52,39.49,5.48,9.79,92.62,0.27,59.64,0.92,5.27,83.71,25.39,0,48.7,0.03,15.26,0,37.5
42.98,34.05,40.16,4.53,8.58,91.04,0.32,64.09,0.89,5.16,83.75,28.37,0,63.27,0.05,11.58,1,33.33
56.14,33.85,38.78,4.77,7.02,92.83,0.04,57.47,0.6,4.94,88.04,26.18,1,68.1,0.09,9.41,1,100.0
50.0,48.82,52.24,4.87,10.13,94.74,1.51,66.8,0.92,5.13,91.81,37.17,0,73.08,0.0,16.05,0,73.91
56.49,37.96,44.09,4.21,6.73,95.07,0.0,64.88,0.61,6.26,89.71,32.54,0,66.42,0.0,7.85,0,0.0
49.03,35.71,41.76,5.47,10.1,91.38,0.69,61.13,0.8,4.38,85.17,27.38,0,61.16,0.11,12.86,0,47.37
48.0,29.63,35.45,4.86,9.0,89.45,0.82,58.75,0.34,5.58,82.36,23.47,0,64.66,0.1,12.36,0,47.06
43.62,36.02,41.55,5.12,8.69,91.53,0.52,53.45,0.52,7.6,85.18,27.91,1,60.61,0.0,13.35,1,100.0
40.65,47.22,52.14,5.41,10.11,93.55,1.05,55.91,0.6,4.1,88.46,37.56,2,62.39,0.08,13.98,0,71.43
55.56,31.1,33.74,4.88,7.35,90.43,0.51,42.22,0.34,2.81,87.69,23.08,1,72.0,0.06,17.69,0,44.44
50.0,52.54,59.43,4.09,9.04,96.72,0.22,64.18,1.08,5.6,91.3,44.35,0,57.69,0.0,14.43,0,100.0
39.77,51.48,55.75,4.6,8.21,92.9,0.33,53.1,0.43,4.03,88.94,41.99,1,56.47,0.14,10.72,1,28.57
