Key passes per 90,"Duels won, %",Passes per 90,Shot assists per 90,Touches in box per 90,Short / medium passes per 90,"Shots on target, %",Duels per 90,"Accurate passes, %","Accurate short / medium passes, %",Successful attacking actions per 90,Received passes per 90,"Aerial duels won, %","Goal conversion, %","Offensive duels won, %",Non-penalty goals,Aerial duels per 90,Assists
0.35,42.39,33.35,1.41,2.12,30.18,50.0,16.24,87.3,92.4,2.12,25.24,66.67,50.0,30.77,1,1.06,1
0.37,42.13,33.29,1.23,3.33,30.21,26.67,21.95,88.52,91.84,5.18,27.74,37.5,20.0,37.19,3,0.99,0
2.02,42.31,27.3,2.02,7.08,20.22,33.33,26.29,77.78,95.0,8.09,17.19,33.33,0.0,50.0,0,6.07,1
0.28,40.66,31.39,0.28,2.5,27.22,37.5,25.28,77.88,81.63,7.5,22.5,100.0,12.5,41.27,1,0.28,1
0.0,41.67,12.86,0.8,1.61,11.25,0.0,19.29,62.5,71.43,0.8,10.45,60.0,0.0,23.08,0,4.02,0
0.34,43.63,17.06,0.89,4.44,15.35,60.0,28.93,71.2,76.0,4.5,13.03,52.1,32.5,41.29,13,8.12,0
0.11,36.04,13.52,0.68,3.92,12.52,42.86,17.12,73.09,76.07,3.07,9.52,23.6,18.182,38.46,13,3.17,1
0.25,46.2,26.51,0.78,2.43,24.7,42.31,20.05,85.09,88.33,3.79,19.84,41.07,11.538,47.48,6,2.31,2
0.09,30.94,17.39,0.34,4.18,16.28,54.84,19.01,81.86,85.86,2.47,12.61,25.45,16.129,28.42,5,4.69,0
0.0,41.38,15.59,0.35,3.16,13.69,50.0,19.35,72.3,77.18,2.91,10.22,22.78,22.5,44.92,14,2.77,0
0.4,35.26,21.58,0.68,3.71,19.47,44.44,22.74,77.26,81.35,3.43,13.8,35.0,11.111,33.45,4,3.19,3
0.32,39.85,16.3,0.4,4.11,15.25,50.0,21.66,74.01,74.87,2.26,11.66,41.3,20.833,28.29,13,7.42,1
0.31,31.34,13.45,0.72,2.64,12.91,48.72,19.45,76.33,78.47,2.06,8.38,24.0,28.205,34.45,11,3.36,3
0.53,38.14,12.71,0.53,3.38,11.35,42.22,25.86,74.83,78.38,3.07,7.8,39.06,20.0,35.51,9,5.61,4
0.22,40.06,17.0,0.47,3.83,14.81,37.7,13.43,80.25,85.76,3.1,12.53,42.86,9.836,40.58,6,2.41,4
0.26,39.83,19.89,0.4,3.17,18.48,28.57,21.25,75.83,79.47,1.54,13.85,43.09,17.143,34.41,6,5.42,0
0.7,49.73,28.57,1.76,1.64,22.94,50.0,17.13,74.87,82.23,3.53,19.02,45.88,13.333,44.57,4,2.59,8
0.12,29.45,12.44,0.3,5.77,11.59,43.4,25.55,76.59,79.58,2.37,7.59,32.58,20.755,23.61,11,5.4,1
0.46,47.23,17.47,1.01,3.49,14.25,47.62,24.91,69.47,78.06,5.52,11.68,47.73,4.762,49.32,1,4.04,0
0.37,44.15,17.91,1.02,3.1,14.61,36.96,21.26,67.88,78.21,4.04,10.97,30.36,10.87,42.72,5,2.28,2
0.09,40.8,13.88,0.18,2.81,11.79,50.0,22.68,65.36,73.85,2.54,10.8,36.26,12.5,36.36,3,8.26,1
0.66,43.96,16.7,1.03,3.9,14.87,48.0,26.79,77.09,80.2,5.08,12.07,21.43,24.0,42.16,6,2.06,0
1.15,48.45,28.09,1.75,1.63,23.33,53.13,21.4,72.96,78.81,7.11,19.53,0.0,12.5,47.37,4,0.42,5
0.41,36.04,20.97,0.67,2.74,19.83,32.43,20.4,81.48,82.51,2.49,14.86,47.62,10.811,37.11,4,2.17,4
0.54,36.12,12.08,0.81,3.44,10.63,51.16,10.27,74.53,79.57,2.94,9.54,8.7,18.605,40.63,8,1.04,3
0.09,37.76,19.1,0.18,2.44,18.02,36.36,30.69,79.15,79.9,2.35,11.41,55.24,12.121,29.49,2,9.51,0
0.26,36.77,15.28,0.63,3.47,14.44,48.78,18.85,81.1,83.64,1.84,9.98,49.21,19.512,27.06,6,3.31,1
0.49,47.06,22.19,0.65,2.6,18.83,36.0,24.84,70.24,78.74,5.2,13.85,42.47,4.0,44.39,1,3.95,0
0.24,39.9,17.37,0.36,3.28,14.21,28.57,24.05,59.44,66.67,1.82,14.09,41.33,14.286,26.53,2,9.11,1
0.06,42.22,33.74,0.22,1.12,31.1,22.22,17.69,87.69,90.43,0.45,23.08,45.26,11.111,26.87,1,5.33,0
0.52,39.76,11.48,0.73,5.12,8.67,29.03,26.52,58.18,66.27,5.74,7.52,46.67,9.677,34.87,3,3.13,2
0.32,51.4,32.56,0.59,1.63,30.93,38.46,14.52,88.61,91.08,1.9,25.06,25.81,11.538,40.87,3,1.4,1
0.16,31.35,15.3,0.65,5.37,12.86,36.84,30.11,74.47,82.28,2.93,9.6,42.11,21.053,24.1,4,9.28,0
0.7,43.59,34.07,0.7,1.64,31.49,22.22,18.33,81.38,85.82,1.64,28.2,40.0,0.0,40.63,0,1.17,0
0.0,28.26,14.66,0.0,6.07,13.65,25.0,23.26,79.31,85.19,1.01,11.12,37.5,0.0,20.0,0,8.09,0
0.56,36.96,16.9,1.01,4.25,16.12,33.33,33.92,72.85,73.61,1.9,9.29,46.15,8.333,26.32,2,10.19,0
1.13,40.48,29.43,1.13,1.7,27.17,50.0,23.77,84.62,89.58,5.66,17.55,0.0,0.0,35.48,0,1.13,0
0.26,33.5,19.96,0.64,3.73,17.0,60.0,26.52,74.19,81.82,3.86,13.13,22.22,26.667,34.83,4,3.48,1
0.27,48.13,46.27,0.74,1.34,42.85,17.65,16.16,87.83,92.02,1.94,35.95,36.36,0.0,45.56,0,1.48,1
0.42,36.74,28.03,1.83,2.32,21.55,27.78,15.14,77.64,87.25,2.46,20.85,15.38,11.111,39.36,2,1.83,2
0.0,29.23,11.37,0.0,1.89,11.37,0.0,20.53,75.0,75.0,0.32,5.68,25.0,0.0,27.03,0,3.79,0
0.17,48.22,29.01,0.46,1.47,25.26,36.0,14.21,85.51,89.35,1.68,18.5,50.0,8.0,40.0,2,2.77,1
0.11,51.53,23.58,0.11,0.32,17.87,25.0,17.24,66.82,76.92,1.48,15.76,57.14,0.0,34.21,0,2.96,0
0.39,41.99,28.3,0.65,3.11,25.23,45.59,25.62,83.51,89.38,6.27,21.43,20.75,11.765,44.7,8,2.29,0
0.22,38.39,22.5,0.66,2.16,20.73,31.58,17.14,85.01,87.73,3.37,16.31,30.43,5.263,38.46,2,1.27,2
0.37,44.6,36.7,0.56,1.5,34.58,35.29,17.35,87.59,89.35,2.06,28.27,54.55,11.765,35.96,2,1.37,3
0.31,40.38,35.54,1.25,1.56,30.76,40.0,27.54,80.12,84.8,5.4,27.44,27.27,20.0,36.67,3,1.14,1
0.49,48.23,23.39,0.49,2.44,20.31,45.45,22.91,69.44,72.8,2.27,13.32,28.0,0.0,36.54,0,4.06,0
0.69,45.58,33.58,1.38,0.96,31.38,50.0,20.23,83.61,85.53,3.58,24.77,16.67,0.0,42.86,0,0.83,1
0.66,26.98,22.77,0.88,3.28,19.05,62.5,27.59,75.0,82.76,4.16,14.01,34.38,12.5,19.64,1,7.01,0
0.11,39.57,24.91,0.77,2.96,22.83,50.0,15.26,78.85,80.77,2.3,17.67,46.34,20.0,23.4,3,4.5,0
0.31,41.1,20.54,1.04,1.67,19.19,47.06,24.61,86.29,88.59,2.71,14.5,20.0,5.882,39.62,1,2.61,3
0.17,33.57,14.43,0.34,5.6,13.16,34.48,23.52,76.47,80.65,2.55,8.32,51.61,3.448,25.74,1,5.26,1
0.46,32.31,23.49,1.01,3.96,21.56,52.94,23.95,76.47,79.49,3.96,17.13,18.52,5.882,32.31,1,2.49,2
0.15,30.11,15.2,0.3,3.16,14.0,40.0,14.0,73.27,77.42,0.75,10.23,40.74,10.0,14.29,1,4.06,0
1.32,36.71,21.71,1.59,5.03,20.38,40.0,20.91,84.15,88.31,1.32,16.41,33.33,0.0,17.86,0,4.76,1
0.0,32.69,14.18,0.19,3.21,12.76,42.86,29.21,71.33,77.04,1.89,8.13,37.68,4.762,21.17,1,6.52,0
1.07,43.19,25.85,1.58,2.65,19.98,35.71,30.5,72.85,82.44,7.02,15.04,43.24,14.286,38.75,2,2.65,1
1.03,48.0,16.55,1.03,4.14,13.45,33.33,25.86,68.75,69.23,5.17,8.28,28.57,0.0,70.0,0,7.24,0
0.2,40.87,22.15,1.01,2.92,19.93,30.0,25.37,80.45,84.34,3.93,16.21,45.45,10.0,36.04,2,4.43,0
0.0,45.95,16.42,0.0,3.28,15.77,50.0,24.31,76.0,77.08,1.31,12.48,46.15,0.0,40.0,0,4.27,0
