"Accurate short / medium passes, %",Sliding tackles per 90,Duels per 90,Aerial duels per 90,Touches in box per 90,Shot assists per 90,"Average pass length, m",Passes to final third per 90,"Accurate passes to final third, %",Passes per 90,Short / medium passes per 90,Assists,"Duels won, %","Accurate passes, %",Received passes per 90,Interceptions per 90,PAdj Interceptions,Non-penalty goals,Smart passes per 90
98.1,1.03,24.17,4.63,1.54,0.51,18.21,9.26,88.89,56.57,54.0,0,48.94,95.45,41.14,5.14,9.09,0,0.51
88.76,0.0,16.71,2.69,1.35,0.54,20.51,13.47,72.0,53.35,47.96,1,35.48,85.86,39.61,2.96,3.79,0,1.35
90.08,0.0,20.9,4.72,0.67,0.0,16.63,6.07,55.56,43.48,40.79,0,59.68,86.82,36.07,1.69,2.31,0,1.01
90.64,1.23,15.41,2.16,0.31,0.31,19.17,12.02,87.18,57.33,52.71,0,32.0,87.63,46.54,2.77,4.03,0,0.62
92.0,0.0,14.69,0.92,3.67,0.92,18.42,7.35,75.0,52.35,45.92,1,68.75,89.47,35.82,2.76,3.75,0,0.0
86.61,0.22,23.98,3.57,1.32,1.54,21.43,6.79,59.74,36.14,29.62,8,41.54,79.39,25.08,2.03,2.73,6,0.48
95.46,0.26,15.54,1.36,0.13,1.23,18.38,9.32,86.38,55.42,52.09,5,49.86,93.05,41.37,3.2,4.29,0,0.18
92.65,0.38,20.64,1.57,0.42,1.53,19.61,10.96,77.14,60.21,52.59,3,58.01,87.86,41.42,5.01,6.3,3,0.84
93.99,1.73,12.73,1.87,0.87,0.64,18.03,5.07,80.18,40.21,36.47,0,46.59,90.58,29.76,2.65,3.68,3,0.23
86.97,0.16,16.62,3.96,0.69,0.32,21.08,6.01,68.42,32.71,27.54,1,50.79,81.61,23.95,2.85,3.38,0,0.11
90.43,0.25,16.86,2.4,0.6,0.28,20.67,5.62,73.58,36.71,31.38,3,52.83,86.14,25.48,3.18,3.86,4,0.11
81.95,0.23,11.69,2.17,0.73,0.63,20.13,6.71,60.7,33.37,27.76,5,54.86,74.77,20.98,4.64,5.53,0,0.8
87.94,0.9,20.0,2.21,0.74,0.49,20.98,6.97,78.82,34.51,30.57,0,51.23,83.85,22.13,5.66,7.53,0,0.49
87.99,0.38,15.88,2.83,0.8,0.92,20.53,7.41,67.01,48.04,39.75,3,52.88,80.68,35.13,5.08,6.74,0,0.46
90.21,0.48,10.84,1.6,1.18,0.59,17.59,3.58,68.66,31.35,27.83,2,50.25,85.86,22.49,2.08,2.84,1,0.27
92.4,0.43,14.05,1.24,1.02,0.86,18.13,7.78,75.4,46.67,41.88,2,49.23,88.02,35.12,2.59,3.88,2,0.99
78.81,0.12,21.4,0.42,1.63,1.75,20.93,6.57,65.14,28.09,23.33,5,48.45,72.96,19.53,1.15,1.55,4,2.95
90.39,0.85,18.13,1.94,0.91,0.97,18.51,7.47,74.81,45.14,39.73,4,50.63,86.62,30.38,4.05,5.07,0,0.74
92.41,0.42,16.54,2.15,0.28,0.28,17.66,5.42,82.05,41.7,40.31,0,53.78,91.17,30.72,2.71,3.59,1,0.35
82.37,0.35,16.72,1.35,1.48,1.22,19.15,2.79,65.63,23.8,19.56,2,42.82,73.21,16.81,2.62,3.15,1,0.35
92.27,0.49,20.94,1.13,0.73,0.32,16.34,4.37,79.63,37.36,34.53,0,48.26,88.74,26.44,2.26,2.81,1,0.24
84.5,0.87,15.84,4.35,1.04,0.0,19.66,4.87,67.86,40.56,34.82,0,52.75,80.26,27.33,2.61,3.44,0,0.17
92.02,0.5,16.48,1.4,0.2,0.5,17.77,5.09,82.35,36.16,32.56,1,46.06,88.4,24.77,2.4,3.04,0,0.4
84.41,0.5,23.32,9.07,1.26,0.5,18.86,7.31,69.95,34.37,30.7,3,55.71,81.78,22.49,4.79,5.7,1,0.29
82.46,0.11,18.53,1.68,1.05,0.53,20.24,4.63,63.64,28.11,24.0,0,40.34,75.28,17.16,2.11,2.43,0,0.21
88.5,0.29,15.17,4.03,0.37,0.29,20.62,3.88,64.15,28.22,24.85,1,48.79,85.45,17.37,3.08,3.84,0,0.15
86.85,0.33,18.28,1.9,1.38,0.72,20.81,6.48,64.65,39.83,32.88,3,43.01,80.59,26.66,4.26,4.99,3,0.46
85.82,0.47,18.33,1.17,1.64,0.7,17.09,5.87,64.0,34.07,31.49,0,43.59,81.38,28.2,1.88,2.45,0,1.64
94.55,0.25,12.94,1.69,0.0,0.08,20.55,5.08,75.0,38.91,35.7,0,49.67,91.52,27.58,2.03,2.51,0,0.0
90.13,0.61,16.28,1.5,0.11,0.33,18.09,5.43,67.35,38.16,35.34,1,48.64,87.08,27.08,3.66,4.59,0,0.39
92.02,0.4,16.16,1.48,1.34,0.74,19.42,7.51,82.14,46.27,42.85,1,48.13,87.83,35.95,2.68,3.56,0,0.47
89.94,0.11,16.96,4.41,0.9,0.23,22.06,8.93,54.43,48.28,39.35,0,53.33,82.67,32.0,5.99,8.55,0,0.11
84.51,0.08,18.49,3.28,1.95,0.87,19.38,4.99,63.33,32.12,27.09,3,47.19,79.04,21.94,2.74,3.29,2,0.29
89.35,0.34,14.21,2.77,1.47,0.46,19.36,4.88,74.14,29.01,25.26,1,48.22,85.51,18.5,2.02,2.92,2,0.42
87.41,0.16,22.36,1.47,0.82,0.82,19.04,7.58,61.15,42.11,36.38,2,54.39,80.18,28.75,3.49,4.3,2,0.38
87.69,1.24,20.83,2.2,0.86,1.24,21.59,5.83,67.21,36.11,31.05,1,40.83,82.8,25.41,1.91,2.65,2,0.76
89.45,0.19,12.32,1.97,0.79,0.6,20.77,7.79,68.45,43.39,36.55,1,60.12,82.93,30.62,3.36,4.1,0,0.53
87.73,0.0,17.14,1.27,2.16,0.66,17.9,3.48,76.19,22.5,20.73,2,38.39,85.01,16.31,1.11,1.3,2,0.83
89.35,0.31,17.35,1.37,1.5,0.56,15.67,3.31,81.13,36.7,34.58,3,44.6,87.59,28.27,1.62,2.15,2,0.56
88.07,0.46,13.82,1.93,1.79,1.13,17.69,5.78,74.71,40.78,36.2,3,47.6,83.39,29.56,3.79,4.75,0,1.0
88.82,0.09,12.48,0.96,0.37,0.73,22.16,7.02,62.75,37.34,31.19,1,48.53,80.84,29.36,2.57,3.13,0,0.18
