Duels per 90,Shots blocked per 90,Key passes per 90,Shot assists per 90,Successful defensive actions per 90,Assists,"Accurate long passes, %",Crosses per 90,Passes to final third per 90,Received passes per 90,"Duels won, %",Crosses to goalie box per 90,Interceptions per 90,"Accurate passes, %",Passes per 90,"Accurate short / medium passes, %",Short / medium passes per 90,Non-penalty goals,"Accurate crosses, %"
28.64,0.0,0.0,0.37,9.3,0,57.14,3.72,7.07,30.12,59.74,0.74,2.23,78.64,38.31,87.21,31.98,0,20.0
15.62,0.29,0.1,0.2,7.47,1,51.16,0.98,4.32,26.72,48.43,0.0,3.24,81.34,35.27,87.25,30.07,3,30.0
21.35,0.23,0.52,1.68,10.9,5,47.37,3.35,5.9,23.77,53.17,0.58,5.45,75.6,37.41,85.38,29.34,6,29.81
19.04,0.0,0.44,0.57,7.74,2,36.36,3.81,2.35,22.47,47.33,0.63,3.24,74.95,29.39,87.1,23.61,1,20.0
19.71,0.12,0.31,0.53,8.31,4,42.94,2.65,5.07,23.01,56.4,0.25,3.86,75.11,35.02,85.01,27.61,4,29.41
8.5,0.25,0.44,0.69,5.31,1,28.13,2.75,2.69,21.94,53.68,0.38,2.75,75.5,28.06,85.56,23.38,4,25.0
18.24,0.0,0.0,2.43,7.3,0,0.0,3.65,6.08,41.35,66.67,0.0,2.43,76.74,52.3,89.19,45.0,0,0.0
15.88,0.38,0.42,0.92,10.2,3,50.0,2.37,7.41,35.13,52.88,0.23,5.08,80.68,48.04,87.99,39.75,0,37.1
15.21,0.0,0.32,0.65,5.12,2,50.0,2.86,3.24,25.29,40.43,0.11,2.0,77.63,31.82,84.31,27.5,5,26.42
21.35,0.5,0.39,0.86,10.87,1,45.45,2.85,4.63,33.15,58.93,0.43,6.1,82.45,46.3,88.67,40.88,3,27.5
13.27,0.27,0.67,0.86,8.69,3,52.2,2.78,6.61,27.43,48.97,0.35,4.89,78.19,38.03,88.69,28.37,0,33.8
16.74,0.35,0.51,1.28,9.97,6,46.43,2.3,8.06,30.29,45.81,0.27,5.61,79.37,40.56,88.26,31.84,2,49.15
16.36,0.33,0.0,0.0,9.42,0,31.96,0.79,4.21,18.51,55.05,0.04,3.93,78.66,28.47,88.5,23.72,0,15.79
17.69,0.18,0.28,0.53,8.53,3,42.86,1.94,5.11,27.45,53.59,0.25,4.23,84.71,39.19,90.37,34.39,0,43.64
15.0,0.13,0.06,0.41,9.41,0,50.77,0.73,4.86,23.37,54.32,0.13,3.92,84.66,35.62,90.06,30.82,0,43.48
18.07,0.33,0.53,0.99,8.9,1,43.93,2.31,10.35,40.88,52.55,0.2,4.68,82.28,53.21,90.1,43.98,0,48.57
22.39,0.0,0.28,0.91,8.52,0,34.69,3.13,5.34,30.45,55.33,0.28,2.73,80.46,42.44,88.12,36.82,0,27.27
12.71,0.04,0.42,1.3,6.34,3,46.79,4.17,4.83,36.53,49.59,0.56,3.78,81.92,47.45,89.85,39.68,1,36.97
12.9,0.28,0.04,0.28,8.26,0,47.56,1.06,4.96,31.31,53.96,0.04,4.05,85.57,39.26,90.46,35.05,1,40.74
12.36,0.34,0.1,0.24,9.0,0,48.0,1.01,5.58,23.47,58.75,0.1,4.86,82.36,35.45,89.45,29.63,0,38.1
13.98,0.6,0.08,0.11,10.11,0,40.65,0.34,4.1,37.56,55.91,0.04,5.41,88.46,52.14,93.55,47.22,2,22.22
15.87,0.17,0.42,0.91,7.23,1,51.43,4.24,5.9,30.66,45.55,0.33,3.74,81.04,41.63,87.35,34.82,0,47.06
18.44,0.25,0.39,0.64,9.56,2,41.22,2.66,7.14,26.93,55.11,0.57,4.48,79.87,38.3,88.88,31.3,1,36.0
20.65,0.14,0.24,0.39,8.54,0,35.56,2.46,3.91,22.83,57.94,0.24,2.75,78.25,30.4,86.96,25.91,0,23.53
14.69,0.1,0.27,0.78,8.63,2,45.0,2.54,4.57,26.23,53.23,0.27,3.76,79.19,35.13,88.21,29.28,0,18.67
23.99,0.04,0.45,0.83,6.91,1,31.03,2.18,2.25,23.17,43.35,0.41,3.42,81.62,30.64,88.22,27.41,5,22.41
37.06,0.0,0.0,0.0,28.24,0,0.0,1.76,1.76,7.06,57.14,0.0,7.06,88.89,15.88,100.0,14.12,0,0.0
15.55,0.08,0.69,1.58,7.73,6,54.31,3.73,5.23,28.24,44.55,0.38,3.89,70.27,36.63,78.13,28.86,5,26.8
19.88,0.0,0.44,0.66,9.83,0,50.0,0.87,3.06,29.27,48.35,0.0,3.06,86.02,40.63,88.37,37.57,0,75.0
15.24,0.22,0.26,0.48,10.25,3,37.82,2.24,5.99,33.72,55.42,0.11,4.11,80.17,44.08,87.71,37.65,0,31.15
17.16,0.28,0.24,0.55,10.56,0,48.43,3.24,7.79,37.92,47.93,0.2,5.1,83.58,51.05,92.15,41.8,1,36.59
14.11,0.26,0.13,0.13,7.51,0,48.33,0.46,4.64,22.79,53.24,0.0,3.0,86.02,33.18,91.84,28.8,0,42.86
17.24,0.32,0.11,0.11,9.2,0,40.0,2.12,5.61,15.76,51.53,0.11,4.12,66.82,23.58,76.92,17.87,0,25.0
22.36,0.16,0.38,0.82,9.05,2,38.89,2.07,7.58,28.75,54.39,0.16,3.49,80.18,42.11,87.41,36.38,2,28.95
16.21,0.18,0.24,0.66,10.63,2,30.67,1.44,5.88,17.35,51.11,0.24,5.46,67.9,26.0,78.81,20.11,1,29.17
13.58,0.5,0.18,0.35,9.87,2,63.16,1.2,5.62,32.96,56.51,0.21,5.41,88.15,45.05,91.79,40.49,1,35.29
13.39,0.13,0.54,0.81,9.48,2,33.33,2.83,5.31,24.62,48.74,0.34,5.58,73.08,33.23,82.91,26.37,1,40.48
16.88,0.08,0.16,0.63,9.19,0,53.85,2.28,6.05,24.66,49.3,0.63,4.55,78.91,36.13,86.35,29.92,0,24.14
12.11,0.2,0.25,0.66,7.94,0,43.68,2.29,5.55,25.13,52.52,0.25,4.12,79.34,33.99,88.64,27.32,0,37.78
17.52,0.0,0.2,0.47,6.71,1,44.44,1.61,4.3,24.16,45.21,0.27,3.49,79.02,32.95,86.73,27.32,0,33.33
12.48,0.09,0.18,0.73,5.78,1,45.19,1.47,7.02,29.36,48.53,0.23,2.57,80.84,37.34,88.82,31.19,0,25.0
27.83,0.17,0.35,0.87,7.1,0,43.59,2.71,2.54,22.34,40.66,0.35,2.89,79.93,31.35,87.36,26.5,0,34.04
14.73,0.0,0.0,0.0,8.18,0,0.0,0.0,1.64,6.55,33.33,0.0,4.91,83.33,9.82,83.33,9.82,0,0.0
10.501600000000002,0.0016,0.0024,0.0033,5.716799999999997,0,5.671399999999998,0.12590000000000004,1.2760000000000002,11.223499999999984,37.600299999999976,0.0048,1.7856999999999987,67.63490000000003,17.07569999999999,76.41989999999998,14.496899999999993,0,2.5658
22.94,0.0,0.0,0.88,9.71,0,0.0,3.53,1.76,21.18,50.0,0.0,2.65,80.0,26.47,92.31,22.94,0,0.0
16.72,0.41,0.37,0.5,9.98,0,39.02,1.83,8.56,31.37,49.86,0.27,5.36,80.72,43.24,89.31,36.0,1,35.0
18.41,0.58,0.0,0.0,10.52,0,50.0,2.34,3.8,16.36,53.97,0.58,6.14,64.37,25.42,72.86,20.45,0,12.5
32.03,0.0,0.0,0.0,7.63,0,100.0,1.53,0.0,10.68,52.38,0.0,4.58,84.62,19.83,90.91,16.78,0,0.0
10.472000000000001,0.0012,0.0014000000000000002,0.0022,5.692499999999996,0,5.671399999999998,0.10660000000000001,1.3228,11.423899999999982,37.721099999999986,0.0048,1.7585999999999986,67.41800000000002,17.041399999999996,75.73019999999998,14.331199999999999,0,2.6908
16.66,0.3,0.45,0.6,9.67,0,51.35,2.23,6.4,17.11,57.14,0.45,3.87,71.91,26.48,82.54,18.74,0,33.33
17.07,0.17,0.0,0.34,14.14,0,40.91,0.34,3.79,27.93,51.52,0.17,7.24,77.88,37.41,81.87,33.28,0,100.0
14.4,0.0,0.0,0.0,4.8,0,0.0,0.0,4.8,14.4,58.33,0.0,1.2,68.18,26.4,75.0,24.0,0,0.0
16.18,0.33,0.38,0.54,11.34,0,55.56,0.98,8.2,31.7,59.73,0.11,5.81,84.92,46.79,89.52,40.93,0,38.89
17.09,0.67,0.04,0.31,11.12,0,52.91,1.12,10.54,39.64,59.58,0.09,6.19,83.28,54.44,90.89,44.3,0,32.0
16.82,0.19,0.38,0.57,10.51,0,42.86,1.72,5.35,29.81,44.32,0.38,5.73,84.72,41.27,90.86,35.54,0,55.56
22.4,0.0,0.0,0.39,7.47,0,50.0,3.54,3.54,14.93,42.11,0.39,1.57,77.94,26.72,85.96,22.4,0,33.33
13.66,0.08,0.23,0.55,10.93,1,57.14,1.72,9.21,33.8,58.29,0.0,5.07,81.1,48.32,86.47,39.81,0,54.55
13.24,0.13,0.4,0.53,6.69,1,87.5,2.81,2.81,24.21,48.48,0.67,3.34,88.14,33.83,92.0,30.09,0,47.62
14.0,0.57,0.29,0.29,9.43,0,73.33,1.14,6.29,34.57,42.86,0.0,5.71,88.17,48.29,91.39,43.14,0,25.0
14.64,0.31,0.08,0.15,8.36,0,42.86,0.23,5.19,25.17,54.5,0.0,3.8,83.65,36.48,90.62,31.37,0,0.0
15.4,0.72,0.0,0.0,7.94,0,44.44,1.8,2.77,20.82,45.31,0.12,3.73,80.63,30.44,88.26,25.63,0,33.33
15.63,0.55,0.12,0.37,10.2,2,47.5,1.1,4.09,17.22,51.56,0.31,5.25,74.23,25.83,82.93,20.03,2,27.78
18.82,0.0,0.41,1.23,15.14,0,44.44,1.64,4.91,31.5,65.22,0.0,5.73,83.65,42.55,89.13,37.64,0,25.0
37.37,0.0,0.0,1.14,9.15,1,57.14,0.76,5.34,25.93,43.88,0.0,3.43,84.71,32.42,89.47,28.98,0,0.0
12.76,0.08,0.38,0.45,8.63,2,44.9,1.2,4.73,34.38,56.47,0.15,4.5,87.05,45.79,92.31,40.98,0,31.25
