Clean sheets,Long passes per 90,"Save rate, %",Conceded goals per 90,"Accurate long passes, %","Accurate short / medium passes, %",Shots against
2,6.19,75.0,1.14,59.77,99.19,64
7,7.69,68.38,1.63,63.43,98.43,117
5,9.13,63.25,1.53,60.31,98.55,117
3,4.82,67.16,1.09,58.76,97.53,67
10,9.88,73.97,0.68,71.01,98.0,73
0,12.48,78.57,1.34,60.71,98.04,14
5,4.87,68.06,1.47,60.13,94.52,144
10,4.29,72.87,1.15,64.12,98.41,129
0,6.71,33.33,2.24,50.0,97.06,6
6,6.77,65.22,1.23,70.45,96.58,69
4,4.99,69.37,1.17,73.1,97.88,111
0,4.11,63.16,3.2,44.44,100.0,19
1,6.45,73.21,1.49,58.46,97.59,56
1,2.65,100.0,0.0,100.0,100.0,3
0,4.93,69.23,0.94,61.9,100.0,13
5,4.69,69.57,0.88,58.04,98.12,69
8,3.96,77.27,0.92,58.14,98.32,88
4,2.7,71.43,1.12,55.17,98.04,42
8,10.52,76.47,0.6,60.71,98.45,34
1,7.46,58.33,1.17,53.13,96.55,12
2,6.32,66.3,1.69,56.03,97.76,92
1,5.68,59.26,1.12,67.86,97.73,27
0,3.64,60.0,1.82,75.0,100.0,5
1,3.18,66.67,0.91,14.29,95.65,6
0,3.26,50.0,2.8,100.0,100.0,12
0,8.23,73.17,2.01,66.67,95.08,41
2,3.18,80.0,0.92,57.89,97.66,55
