"Successful dribbles, %",Successful attacking actions per 90,Crosses per 90,Dribbles per 90,"Offensive duels won, %","Accurate passes, %","Shots on target, %","Accurate passes to penalty area, %",Crosses to goalie box per 90,Short / medium passes per 90,"Accurate short / medium passes, %",Passes to penalty area per 90,Key passes per 90,Shot assists per 90,Received passes per 90,Passes per 90,Duels per 90,"Duels won, %","Accurate crosses, %","Goal conversion, %",Assists,Non-penalty goals
55.56,5.17,4.14,9.31,41.67,61.54,0.0,25.0,0.0,21.72,76.19,4.14,0.0,0.0,26.9,26.9,21.72,47.62,0.0,0.0,0,0
28.57,2.12,2.47,3.71,30.77,87.3,50.0,36.36,0.35,30.18,92.4,1.94,0.35,1.41,25.24,33.35,16.24,42.39,35.71,50.0,1,1
40.54,5.18,1.36,9.12,37.19,88.52,26.67,36.84,0.37,30.21,91.84,2.34,0.37,1.23,27.74,33.29,21.95,42.13,36.36,20.0,0,3
60.0,8.09,7.08,5.06,50.0,77.78,33.33,20.0,1.01,20.22,95.0,5.06,2.02,2.02,17.19,27.3,26.29,42.31,28.57,0.0,1,0
35.71,2.26,0.98,2.75,36.96,81.34,41.18,33.33,0.0,30.07,87.25,1.77,0.1,0.2,26.72,35.27,15.62,48.43,30.0,17.647,1,3
52.48,3.86,1.15,3.42,40.5,77.64,36.0,59.34,0.24,24.19,82.49,3.08,0.61,1.15,22.66,29.23,18.9,45.52,38.24,14.667,2,6
56.54,6.93,1.75,8.73,45.63,79.14,33.82,56.0,0.16,22.75,85.48,3.06,0.37,0.86,18.76,26.59,23.41,43.9,34.88,10.294,1,6
63.44,3.79,1.03,3.83,47.48,85.09,42.31,52.0,0.29,24.7,88.33,1.03,0.25,0.78,19.84,26.51,20.05,46.2,36.0,11.538,2,6
53.85,5.03,3.35,6.29,50.49,75.6,45.95,49.38,0.58,29.34,85.38,2.61,0.52,1.68,23.77,37.41,21.35,53.17,29.81,18.919,5,6
56.57,3.43,1.56,3.95,33.45,77.26,44.44,57.45,0.16,19.47,81.35,1.88,0.4,0.68,13.8,21.58,22.74,35.26,30.77,11.111,3,4
56.9,3.3,3.81,3.68,45.45,74.95,26.32,28.26,0.63,23.61,87.1,2.92,0.44,0.57,22.47,29.39,19.04,47.33,20.0,5.263,2,1
41.84,3.07,0.66,4.3,35.51,74.83,42.22,61.54,0.18,11.35,78.38,0.57,0.53,0.53,7.8,12.71,25.86,38.14,53.33,20.0,4,9
46.9,4.09,2.65,4.4,41.92,77.02,40.0,49.49,0.43,31.64,82.39,3.86,0.74,1.36,24.58,36.62,22.48,46.79,36.76,12.5,8,5
47.37,1.14,1.74,0.63,43.48,74.77,16.0,47.92,0.03,27.76,81.95,3.21,0.33,0.63,20.98,33.37,11.69,54.86,23.08,0.0,5,0
66.67,2.43,3.65,3.65,57.14,76.74,0.0,33.33,0.0,45.0,89.19,7.3,0.0,2.43,41.35,52.3,18.24,66.67,0.0,0.0,0,0
48.08,3.07,2.86,2.8,33.33,77.63,48.48,52.63,0.11,27.5,84.31,3.07,0.32,0.65,25.29,31.82,15.21,40.43,26.42,15.152,2,5
48.0,3.99,2.51,3.92,42.59,75.95,36.0,54.17,0.39,23.34,80.87,1.88,1.17,1.33,19.82,26.71,20.68,48.48,43.75,16.0,5,4
49.51,3.53,2.95,3.13,44.57,74.87,50.0,54.74,0.58,22.94,82.23,4.17,0.7,1.76,19.02,28.57,17.13,49.73,37.11,13.333,8,4
48.31,3.37,1.77,4.05,38.76,79.91,50.0,56.67,0.32,18.78,85.23,1.36,0.64,0.96,15.92,21.06,14.55,40.63,35.9,26.923,2,7
55.38,5.52,2.48,5.98,49.32,69.47,47.62,57.14,0.37,14.25,78.06,1.93,0.46,1.01,11.68,17.47,24.91,47.23,37.04,4.762,0,1
35.48,2.09,0.73,3.24,30.19,86.22,28.57,53.33,0.0,41.39,89.39,1.57,0.1,0.31,30.42,44.01,26.45,37.94,28.57,14.286,0,1
53.17,4.04,2.69,5.14,42.72,67.88,36.96,42.55,0.33,14.61,78.21,1.92,0.37,1.02,10.97,17.91,21.26,44.15,15.15,10.87,2,5
53.41,5.08,1.1,6.48,42.16,77.09,48.0,57.14,0.15,14.87,80.2,2.06,0.66,1.03,12.07,16.7,26.79,43.96,40.0,24.0,0,6
59.32,2.94,1.09,2.67,40.63,74.53,51.16,37.04,0.18,10.63,79.57,1.22,0.54,0.81,9.54,12.08,10.27,36.12,29.17,18.605,3,8
50.0,2.23,2.71,2.36,38.85,73.21,28.57,33.93,0.48,19.56,82.37,2.45,0.57,1.22,16.81,23.8,16.72,42.82,27.42,4.762,2,1
56.25,4.67,3.76,5.19,50.34,74.04,25.0,48.94,0.97,22.13,81.52,3.05,0.45,1.23,18.69,26.99,20.37,47.13,32.76,0.0,1,0
